latitude,longitude,name,nyserda_url,notes
42.821589,-73.950136,"Washington Avenue Solar, LLC",https://der.nyserda.ny.gov/facilities/1965/,rooftop solar panels on what looks like a residential house
41.553831,-74.145333,"Walden NY 1, LLC - 757 Route 52 - PV Systems",https://der.nyserda.ny.gov/facilities/1493/,
41.580979,-74.215472,Walden - 1343 Route 52 - PV Systems,https://der.nyserda.ny.gov/facilities/1419/,
43.023188,-78.182307,Wal-Mart Stores Inc. - 8005 Call Pkwy,https://der.nyserda.ny.gov/facilities/732/,
43.02307,43.02307,Wal-Mart Stores Inc. - 8005 Call Pkwy,https://der.nyserda.ny.gov/facilities/732/,
41.510815,-74.355934,Fogarty - 124 Lybolt Rd - PV Systems,https://der.nyserda.ny.gov/facilities/2314/,
41.738794,-74.500216,Frog Hollow Solar - LLC,https://der.nyserda.ny.gov/facilities/1166/,
42.954438,-74.122172,GE Global Research [Amsterdam A],https://der.nyserda.ny.gov/facilities/717/,
43.062501,-74.159209,GE Global Research [Broadalbin],https://der.nyserda.ny.gov/facilities/716/,
42.755358,-74.204153,GE Global Research [Delanson A],https://der.nyserda.ny.gov/facilities/719/,
42.756445,-74.200022,GE Global Research [Delanson A],https://der.nyserda.ny.gov/facilities/719/,
42.994481,-74.31454,GE Global Research [Johnstown A],https://der.nyserda.ny.gov/facilities/720/,
42.873027,-73.906667,GE Solar - 171278,https://der.nyserda.ny.gov/facilities/1888/,
42.788046,-73.954089,GE Solar - 80 Cheltingham Ave - PV Systems,https://der.nyserda.ny.gov/facilities/1836/,
42.786968,-73.953771,GE Solar - 80 Cheltingham Ave - PV Systems,https://der.nyserda.ny.gov/facilities/1836/,
42.839838,-73.917896,GE Solar Anthony Street,https://der.nyserda.ny.gov/facilities/1405/,looks sorta like solar panels but I think they're not
42.986078,-74.310543,General Electric (19th Hole Solar),https://der.nyserda.ny.gov/facilities/736/,
42.989374,-74.311208,General Electric (19th Hole Solar),https://der.nyserda.ny.gov/facilities/736/,
42.989586,-74.317892,General Electric (19th Hole Solar),https://der.nyserda.ny.gov/facilities/736/,
42.987907,-74.320102,General Electric (19th Hole Solar),https://der.nyserda.ny.gov/facilities/736/,
42.986926,-74.316583,General Electric (19th Hole Solar),https://der.nyserda.ny.gov/facilities/736/,
42.834783,-73.899521,General Electric International Inc. - 165456,https://der.nyserda.ny.gov/facilities/1884/,
42.837781,-73.905498,General Electric International Inc. - 165456,https://der.nyserda.ny.gov/facilities/1884/,looks like not solar panels
43.544233,-73.324947,"Gore Mountain Solar 2, LLC",https://der.nyserda.ny.gov/facilities/389/,
43.544549,-73.322888,"Gore Mountain Solar 2, LLC",https://der.nyserda.ny.gov/facilities/389/,
43.543077,-73.32374,"Gore Mountain Solar 2, LLC",https://der.nyserda.ny.gov/facilities/389/,
41.579628,-74.179028,Grabinski Solar,https://der.nyserda.ny.gov/facilities/1074/,
43.104137,-73.549881,Hollingsworth and Vose,https://der.nyserda.ny.gov/facilities/327/,
43.258942,-76.724288,"Hollygrove Solar, LLC",https://der.nyserda.ny.gov/facilities/789/,
41.312375,-74.28754,Hudson Solar OCCF,https://der.nyserda.ny.gov/facilities/1071/,
41.76826,-74.350676,Town of Wawarsing,https://der.nyserda.ny.gov/facilities/672/,
41.988836,-73.876156,Town of Red Hook,https://der.nyserda.ny.gov/facilities/1195/,
41.288788,-74.23469,Town of Monroe - 49524,https://der.nyserda.ny.gov/facilities/1887/,
42.893877,-74.215818,Town of Guilderland - 6151 State Hwy 30,https://der.nyserda.ny.gov/facilities/769/,
43.038688,-78.185717,Town of Grand Island - 7755 Oak Orchard Road,https://der.nyserda.ny.gov/facilities/733/,
43.180705,-75.430095,Time Warner Cable Enterprises LLC (NY 14 0188),https://der.nyserda.ny.gov/facilities/729/,
43.239747,75.541377,Tannery Road Solar,https://der.nyserda.ny.gov/facilities/376/,
43.240366,-75.538873,Tannery Road Solar,https://der.nyserda.ny.gov/facilities/376/,
42.547279,-73.819388,SUNY Poly Selkirk 4 - 65 Speeder Road,https://der.nyserda.ny.gov/facilities/773/,
42.548982,-73.818792,SUNY Poly Selkirk 4 - 65 Speeder Road,https://der.nyserda.ny.gov/facilities/773/,
42.549703,-73.821298,SUNY Poly Selkirk 4 - 65 Speeder Road,https://der.nyserda.ny.gov/facilities/773/,
42.550809,-73.822832,SUNY Poly Selkirk 4 - 65 Speeder Road,https://der.nyserda.ny.gov/facilities/773/,
42.550718,-73.820557,SUNY Poly Selkirk 4 - 65 Speeder Road,https://der.nyserda.ny.gov/facilities/773/,
